work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size,employees_residence,companys_location
2023,SE-Senior/Expert,Full time,Principal Data Scientist,85847,100,L,Spain,Spain
2023,MI-Mid/Intermediate,Contract,ML Engineer,30000,100,S,United States of America,United States of America
2023,MI-Mid/Intermediate,Contract,ML Engineer,25500,100,S,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,175000,100,M,Canada,Canada
2023,SE-Senior/Expert,Full time,Data Scientist,120000,100,M,Canada,Canada
2023,SE-Senior/Expert,Full time,Applied Scientist,222200,0,L,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Applied Scientist,136000,0,L,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,219000,0,M,Canada,Canada
2023,SE-Senior/Expert,Full time,Data Scientist,141000,0,M,Canada,Canada
2023,SE-Senior/Expert,Full time,Data Scientist,147100,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,90700,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,130000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Analyst,100000,100,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Applied Scientist,213660,0,L,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Applied Scientist,130760,0,L,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Modeler,147100,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Modeler,90700,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,170000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,150000,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Analyst,150000,100,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Analyst,110000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Research Engineer,275000,0,M,Germany,Germany
2023,SE-Senior/Expert,Full time,Research Engineer,174000,0,M,Germany,Germany
2023,SE-Senior/Expert,Full time,Analytics Engineer,230000,100,M,United Kingdom,United Kingdom
2023,SE-Senior/Expert,Full time,Analytics Engineer,143200,100,M,United Kingdom,United Kingdom
2023,SE-Senior/Expert,Full time,Business Intelligence Engineer,225000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Business Intelligence Engineer,156400,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,200000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Machine Learning Engineer,130000,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Strategist,90000,0,M,Canada,Canada
2023,SE-Senior/Expert,Full time,Data Strategist,72000,0,M,Canada,Canada
2023,SE-Senior/Expert,Full time,Data Engineer,253200,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,90700,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Computer Vision Engineer,342810,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Computer Vision Engineer,184590,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Engineer,162500,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Engineer,130000,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Analyst,105380,0,M,United States of America,United States of America
2023,MI-Mid/Intermediate,Full time,Data Analyst,64500,0,M,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Data Quality Analyst,100000,100,L,Nigeria,Nigeria
2023,EN-Entry/Junior,Full time,Compliance Data Analyst,30000,100,L,Nigeria,Nigeria
2022,MI-Mid/Intermediate,Full time,Machine Learning Engineer,20984,50,L,India,India
2023,EN-Entry/Junior,Full time,Applied Scientist,204620,0,L,United States of America,United States of America
2023,EN-Entry/Junior,Full time,Applied Scientist,110680,0,L,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,270703,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,221484,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,212750,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,185000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,262000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,245000,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,275300,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,183500,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,218500,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Scientist,199098,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,203300,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Data Engineer,123600,100,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Research Engineer,189110,0,M,United States of America,United States of America
2023,SE-Senior/Expert,Full time,Research Engineer,139000,0,M,United States of America,United States of America
